gene_name	source
TATDN1	retrogeneDB2-retrocopy
KLF7	retrogeneDB2-retrocopy
FAM92A1	retrogeneDB2-retrocopy
PRADC1	retrogeneDB2-retrocopy
WEE2	retrogeneDB2-retrocopy
LYRM4	retrogeneDB2-retrocopy
NDUFAB1	retrogeneDB2-retrocopy
GNA11	retrogeneDB2-retrocopy
BCLAF1	retrogeneDB2-retrocopy
ZNF396	retrogeneDB2-retrocopy
SSBP2	retrogeneDB2-retrocopy
CDK5RAP3	retrogeneDB2-retrocopy
RBMS1	retrogeneDB2-retrocopy
SSR3	retrogeneDB2-retrocopy
KIF4A	retrogeneDB2-retrocopy
SMN2	retrogeneDB2-retrocopy
DLST	retrogeneDB2-retrocopy
PNKD	retrogeneDB2-retrocopy
RTN3	retrogeneDB2-retrocopy
RP11-407N17.3	retrogeneDB2-retrocopy
TUBB3	retrogeneDB2-retrocopy
HNRNPR	retrogeneDB2-retrocopy
DRG1	retrogeneDB2-retrocopy
ATXN3	retrogeneDB2-retrocopy
PRR3	retrogeneDB2-retrocopy
FLYWCH1	retrogeneDB2-retrocopy
AAED1	retrogeneDB2-retrocopy
ATP5L	retrogeneDB2-retrocopy
KPNA7	retrogeneDB2-retrocopy
ATP6AP2	retrogeneDB2-retrocopy
DPF2	retrogeneDB2-retrocopy
CCDC90B	retrogeneDB2-retrocopy
HTR7	retrogeneDB2-retrocopy
CRYZ	retrogeneDB2-retrocopy
DDI2	retrogeneDB2-retrocopy
CNN3	retrogeneDB2-retrocopy
C6orf203	retrogeneDB2-retrocopy
TPRKB	retrogeneDB2-retrocopy
RTN4IP1	retrogeneDB2-retrocopy
TMEM160	retrogeneDB2-retrocopy
RBM7	retrogeneDB2-retrocopy
ATXN7L3	retrogeneDB2-retrocopy
RPL36A-HNRNPH2	retrogeneDB2-retrocopy
ZRSR2	retrogeneDB2-retrocopy
CD53	retrogeneDB2-retrocopy
LAMTOR5	retrogeneDB2-retrocopy
ACOT7	retrogeneDB2-retrocopy
SDC4	retrogeneDB2-retrocopy
TADA1	retrogeneDB2-retrocopy
PSMD12	retrogeneDB2-retrocopy
HMGN3	retrogeneDB2-retrocopy
DDX6	retrogeneDB2-retrocopy
C6orf203	retrogeneDB2-retrocopy
KRTAP5-10	retrogeneDB2-retrocopy
CCDC12	retrogeneDB2-retrocopy
SLC19A3	retrogeneDB2-retrocopy
DAZAP2	retrogeneDB2-retrocopy
CNIH4	retrogeneDB2-retrocopy
COX19	retrogeneDB2-retrocopy
PSMB7	retrogeneDB2-retrocopy
NUFIP1	retrogeneDB2-retrocopy
CCT7	retrogeneDB2-retrocopy
TMPO	retrogeneDB2-retrocopy
TFB2M	retrogeneDB2-retrocopy
YTHDF1	retrogeneDB2-retrocopy
STK16	retrogeneDB2-retrocopy
FAM175A	retrogeneDB2-retrocopy
TMEM254	retrogeneDB2-retrocopy
KHSRP	retrogeneDB2-retrocopy
RNF4	retrogeneDB2-retrocopy
MRPL40	retrogeneDB2-retrocopy
IQCF1	retrogeneDB2-retrocopy
TMX2	retrogeneDB2-retrocopy
PSMA1	retrogeneDB2-retrocopy
SDCCAG3	retrogeneDB2-retrocopy
TPI1	retrogeneDB2-retrocopy
YAP1	retrogeneDB2-retrocopy
SCYL2	retrogeneDB2-retrocopy
MRPL18	retrogeneDB2-retrocopy
RNF5	retrogeneDB2-retrocopy
FHL1	retrogeneDB2-retrocopy
TIMM17B	retrogeneDB2-retrocopy
ACTN4	retrogeneDB2-retrocopy
WIZ	retrogeneDB2-retrocopy
DPH3	retrogeneDB2-retrocopy
ENO1	retrogeneDB2-retrocopy
SAMM50	retrogeneDB2-retrocopy
TXN2	retrogeneDB2-retrocopy
PSMD4	retrogeneDB2-retrocopy
EIF3E	retrogeneDB2-retrocopy
FABP3	retrogeneDB2-retrocopy
ZNF705A	retrogeneDB2-retrocopy
SCAMP1	retrogeneDB2-retrocopy
YBX3	retrogeneDB2-retrocopy
RBMS2	retrogeneDB2-retrocopy
TECR	retrogeneDB2-retrocopy
TAF9	retrogeneDB2-retrocopy
C19orf53	retrogeneDB2-retrocopy
PPDPF	retrogeneDB2-retrocopy
NDUFV2	retrogeneDB2-retrocopy
GTF2A2	retrogeneDB2-retrocopy
ZFAND5	retrogeneDB2-retrocopy
EXOSC3	retrogeneDB2-retrocopy
RAB5C	retrogeneDB2-retrocopy
FAM122C	retrogeneDB2-retrocopy
SSBP1	retrogeneDB2-retrocopy
PSMD2	retrogeneDB2-retrocopy
PGD	retrogeneDB2-retrocopy
CSNK1A1	retrogeneDB2-retrocopy
MED27	retrogeneDB2-retrocopy
POLD2	retrogeneDB2-retrocopy
HINT1	retrogeneDB2-retrocopy
MIPEP	retrogeneDB2-retrocopy
TRAPPC6A	retrogeneDB2-retrocopy
CDCA8	retrogeneDB2-retrocopy
CDK7	retrogeneDB2-retrocopy
KRTCAP2	retrogeneDB2-retrocopy
SLC25A14	retrogeneDB2-retrocopy
NARG2	retrogeneDB2-retrocopy
DUSP3	retrogeneDB2-retrocopy
RLIM	retrogeneDB2-retrocopy
RBM8A	retrogeneDB2-retrocopy
CHM	retrogeneDB2-retrocopy
NCBP2	retrogeneDB2-retrocopy
SMIM14	retrogeneDB2-retrocopy
C12orf29	retrogeneDB2-retrocopy
IGF2BP3	retrogeneDB2-retrocopy
MEST	retrogeneDB2-retrocopy
AMT	retrogeneDB2-retrocopy
NICN1	retrogeneDB2-retrocopy
AKR7A3	retrogeneDB2-retrocopy
PNPT1	retrogeneDB2-retrocopy
SNX32	retrogeneDB2-retrocopy
SUGT1	retrogeneDB2-retrocopy
CHMP4A	retrogeneDB2-retrocopy
PPP1R8	retrogeneDB2-retrocopy
C6orf106	retrogeneDB2-retrocopy
CASP3	retrogeneDB2-retrocopy
FAM45A	retrogeneDB2-retrocopy
MED21	retrogeneDB2-retrocopy
AKIRIN1	retrogeneDB2-retrocopy
ARMC10	retrogeneDB2-retrocopy
YBX2	retrogeneDB2-retrocopy
SKA2	retrogeneDB2-retrocopy
VPS26A	retrogeneDB2-retrocopy
SRD5A1	retrogeneDB2-retrocopy
MTHFD1	retrogeneDB2-retrocopy
ATG12	retrogeneDB2-retrocopy
PYROXD1	retrogeneDB2-retrocopy
PTOV1	retrogeneDB2-retrocopy
GTF2H1	retrogeneDB2-retrocopy
IK	retrogeneDB2-retrocopy
C14orf2	retrogeneDB2-retrocopy
MLF1IP	retrogeneDB2-retrocopy
AKAP8	retrogeneDB2-retrocopy
NDUFS6	retrogeneDB2-retrocopy
VMA21	retrogeneDB2-retrocopy
DSE	retrogeneDB2-retrocopy
DDX55	retrogeneDB2-retrocopy
DFFB	retrogeneDB2-retrocopy
NFU1	retrogeneDB2-retrocopy
THAP3	retrogeneDB2-retrocopy
YKT6	retrogeneDB2-retrocopy
DFFA	retrogeneDB2-retrocopy
OXCT1	retrogeneDB2-retrocopy
OSTF1	retrogeneDB2-retrocopy
SUDS3	retrogeneDB2-retrocopy
PSMC5	retrogeneDB2-retrocopy
FOSL1	retrogeneDB2-retrocopy
PLP2	retrogeneDB2-retrocopy
CBX5	retrogeneDB2-retrocopy
EIF4E2	retrogeneDB2-retrocopy
CCNB1IP1	retrogeneDB2-retrocopy
MRPS6	retrogeneDB2-retrocopy
WBP2	retrogeneDB2-retrocopy
ORC3	retrogeneDB2-retrocopy
AKIRIN2	retrogeneDB2-retrocopy
MTA3	retrogeneDB2-retrocopy
CCDC25	retrogeneDB2-retrocopy
IMMT	retrogeneDB2-retrocopy
CSGALNACT2	retrogeneDB2-retrocopy
PTCD3	retrogeneDB2-retrocopy
TAF5L	retrogeneDB2-retrocopy
COX11	retrogeneDB2-retrocopy
DDX3X	retrogeneDB2-retrocopy
WWP1	retrogeneDB2-retrocopy
NASP	retrogeneDB2-retrocopy
PAIP1	retrogeneDB2-retrocopy
PSME3	retrogeneDB2-retrocopy
FAM204A	retrogeneDB2-retrocopy
COA5	retrogeneDB2-retrocopy
DRAXIN	retrogeneDB2-retrocopy
ELL2	retrogeneDB2-retrocopy
RPL10	retrogeneDB2-retrocopy
THUMPD1	retrogeneDB2-retrocopy
DCAF13	retrogeneDB2-retrocopy
SUCLG2	retrogeneDB2-retrocopy
HADHB	retrogeneDB2-retrocopy
CDV3	retrogeneDB2-retrocopy
AP1S2	retrogeneDB2-retrocopy
NME2	retrogeneDB2-retrocopy
RAB43	retrogeneDB2-retrocopy
PRPF4B	retrogeneDB2-retrocopy
MRRF	retrogeneDB2-retrocopy
SPPL3	retrogeneDB2-retrocopy
NOB1	retrogeneDB2-retrocopy
TNIP2	retrogeneDB2-retrocopy
WDR5	retrogeneDB2-retrocopy
ALDOA	retrogeneDB2-retrocopy
SSBP4	retrogeneDB2-retrocopy
RBX1	retrogeneDB2-retrocopy
SSR4	retrogeneDB2-retrocopy
MIOX	retrogeneDB2-retrocopy
IMPACT	retrogeneDB2-retrocopy
FAM173B	retrogeneDB2-retrocopy
MPZL1	retrogeneDB2-retrocopy
EIF2AK1	retrogeneDB2-retrocopy
COX20	retrogeneDB2-retrocopy
CD2BP2	retrogeneDB2-retrocopy
C16orf72	retrogeneDB2-retrocopy
PTEN	retrogeneDB2-retrocopy
RNMTL1	retrogeneDB2-retrocopy
ZNF75D	retrogeneDB2-retrocopy
F3	retrogeneDB2-retrocopy
CYB5B	retrogeneDB2-retrocopy
C1orf146	retrogeneDB2-retrocopy
TRAF6	retrogeneDB2-retrocopy
RBM17	retrogeneDB2-retrocopy
COA1	retrogeneDB2-retrocopy
TMEM248	retrogeneDB2-retrocopy
TMEM185A	retrogeneDB2-retrocopy
METTL8	retrogeneDB2-retrocopy
TUBG1	retrogeneDB2-retrocopy
RRAGB	retrogeneDB2-retrocopy
CDYL	retrogeneDB2-retrocopy
SAE1	retrogeneDB2-retrocopy
ZNF341	retrogeneDB2-retrocopy
MRPL48	retrogeneDB2-retrocopy
RAB6A	retrogeneDB2-retrocopy
HDGF	retrogeneDB2-retrocopy
ATF1	retrogeneDB2-retrocopy
GOLGA7	retrogeneDB2-retrocopy
TOX4	retrogeneDB2-retrocopy
PLA2G12A	retrogeneDB2-retrocopy
SUPT16H	retrogeneDB2-retrocopy
YES1	retrogeneDB2-retrocopy
IFT20	retrogeneDB2-retrocopy
TMEM97	retrogeneDB2-retrocopy
IGJ	retrogeneDB2-retrocopy
CETN2	retrogeneDB2-retrocopy
SRP9	retrogeneDB2-retrocopy
WBP1L	retrogeneDB2-retrocopy
HADHA	retrogeneDB2-retrocopy
B3GAT3	retrogeneDB2-retrocopy
PRDX4	retrogeneDB2-retrocopy
GABARAPL2	retrogeneDB2-retrocopy
CTNNBL1	retrogeneDB2-retrocopy
PPIL1	retrogeneDB2-retrocopy
NEDD8	retrogeneDB2-retrocopy
PDCD2	retrogeneDB2-retrocopy
NAP1L4	retrogeneDB2-retrocopy
MRPS10	retrogeneDB2-retrocopy
ACER2	retrogeneDB2-retrocopy
SEC13	retrogeneDB2-retrocopy
10-Sep	retrogeneDB2-retrocopy
YWHAZ	retrogeneDB2-retrocopy
FABP7	retrogeneDB2-retrocopy
SNRPN	retrogeneDB2-retrocopy
MSMO1	retrogeneDB2-retrocopy
PINX1	retrogeneDB2-retrocopy
PRDX5	retrogeneDB2-retrocopy
CTBP2	retrogeneDB2-retrocopy
FAM35A	retrogeneDB2-retrocopy
INIP	retrogeneDB2-retrocopy
FAHD2B	retrogeneDB2-retrocopy
SOD2	retrogeneDB2-retrocopy
ZNF207	retrogeneDB2-retrocopy
SLC35C2	retrogeneDB2-retrocopy
DPPA4	retrogeneDB2-retrocopy
AARSD1	retrogeneDB2-retrocopy
CHMP4B	retrogeneDB2-retrocopy
LAGE3	retrogeneDB2-retrocopy
DNAJB12	retrogeneDB2-retrocopy
HSPA5	retrogeneDB2-retrocopy
MTFR1	retrogeneDB2-retrocopy
MCTS1	retrogeneDB2-retrocopy
CDC20	retrogeneDB2-retrocopy
DKKL1	retrogeneDB2-retrocopy
GSTM5	retrogeneDB2-retrocopy
GSTM3	retrogeneDB2-retrocopy
SPIN1	retrogeneDB2-retrocopy
HMGB2	retrogeneDB2-retrocopy
SAP30	retrogeneDB2-retrocopy
SNW1	retrogeneDB2-retrocopy
LGMN	retrogeneDB2-retrocopy
DPPA5	retrogeneDB2-retrocopy
NPM3	retrogeneDB2-retrocopy
UTP14A	retrogeneDB2-retrocopy
TUBB4A	retrogeneDB2-retrocopy
DEF8	retrogeneDB2-retrocopy
IER3IP1	retrogeneDB2-retrocopy
VPS25	retrogeneDB2-retrocopy
LAP3	retrogeneDB2-retrocopy
NUDT9	retrogeneDB2-retrocopy
PPAT	retrogeneDB2-retrocopy
IPO5	retrogeneDB2-retrocopy
ACOT4	retrogeneDB2-retrocopy
CLK2	retrogeneDB2-retrocopy
DCTN5	retrogeneDB2-retrocopy
FUNDC1	retrogeneDB2-retrocopy
UBE3A	retrogeneDB2-retrocopy
ZDHHC3	retrogeneDB2-retrocopy
SYNCRIP	retrogeneDB2-retrocopy
FAM50A	retrogeneDB2-retrocopy
NDFIP1	retrogeneDB2-retrocopy
CEP57L1	retrogeneDB2-retrocopy
IFT80	retrogeneDB2-retrocopy
NTPCR	retrogeneDB2-retrocopy
PCGF1	retrogeneDB2-retrocopy
RAB5A	retrogeneDB2-retrocopy
TRMT2B	retrogeneDB2-retrocopy
UBE2S	retrogeneDB2-retrocopy
GLTSCR2	retrogeneDB2-retrocopy
NOLC1	retrogeneDB2-retrocopy
FAM195A	retrogeneDB2-retrocopy
SS18L2	retrogeneDB2-retrocopy
ATP6V1B2	retrogeneDB2-retrocopy
FRMD8	retrogeneDB2-retrocopy
AP4S1	retrogeneDB2-retrocopy
CASC4	retrogeneDB2-retrocopy
CAPNS1	retrogeneDB2-retrocopy
MPC1	retrogeneDB2-retrocopy
PPP2CA	retrogeneDB2-retrocopy
TMEM192	retrogeneDB2-retrocopy
DDA1	retrogeneDB2-retrocopy
PEX5	retrogeneDB2-retrocopy
BRCC3	retrogeneDB2-retrocopy
NBPF6	retrogeneDB2-retrocopy
MESDC2	retrogeneDB2-retrocopy
CDCA7	retrogeneDB2-retrocopy
GAMT	retrogeneDB2-retrocopy
HMGCS1	retrogeneDB2-retrocopy
EIF5	retrogeneDB2-retrocopy
RRM2	retrogeneDB2-retrocopy
ATP5B	retrogeneDB2-retrocopy
KIAA0895L	retrogeneDB2-retrocopy
POLR3K	retrogeneDB2-retrocopy
SHC1	retrogeneDB2-retrocopy
GAS2L1	retrogeneDB2-retrocopy
TLK2	retrogeneDB2-retrocopy
ZNHIT1	retrogeneDB2-retrocopy
PHB2	retrogeneDB2-retrocopy
CDON	retrogeneDB2-retrocopy
UBQLN1	retrogeneDB2-retrocopy
NAA10	retrogeneDB2-retrocopy
DNAJC7	retrogeneDB2-retrocopy
TMEM92	retrogeneDB2-retrocopy
HPRT1	retrogeneDB2-retrocopy
ARIH2	retrogeneDB2-retrocopy
DESI2	retrogeneDB2-retrocopy
NSFL1C	retrogeneDB2-retrocopy
FKBP1A	retrogeneDB2-retrocopy
PLEKHA8	retrogeneDB2-retrocopy
MRS2	retrogeneDB2-retrocopy
C14orf166	retrogeneDB2-retrocopy
DHX9	retrogeneDB2-retrocopy
PBX2	retrogeneDB2-retrocopy
SUV39H2	retrogeneDB2-retrocopy
SCD	retrogeneDB2-retrocopy
LRRC59	retrogeneDB2-retrocopy
GLTP	retrogeneDB2-retrocopy
HEBP2	retrogeneDB2-retrocopy
PDCD5	retrogeneDB2-retrocopy
COQ10B	retrogeneDB2-retrocopy
VDAC2	retrogeneDB2-retrocopy
EIF5A2	retrogeneDB2-retrocopy
SF3B4	retrogeneDB2-retrocopy
RPS4Y1	retrogeneDB2-retrocopy
SRP19	retrogeneDB2-retrocopy
IDH3G	retrogeneDB2-retrocopy
FOXR1	retrogeneDB2-retrocopy
IMMP1L	retrogeneDB2-retrocopy
PAPOLA	retrogeneDB2-retrocopy
GAR1	retrogeneDB2-retrocopy
SERF2	retrogeneDB2-retrocopy
NXT2	retrogeneDB2-retrocopy
TMEM14B	retrogeneDB2-retrocopy
ACTR1A	retrogeneDB2-retrocopy
RAB11A	retrogeneDB2-retrocopy
SHQ1	retrogeneDB2-retrocopy
ALDH7A1	retrogeneDB2-retrocopy
NECAP1	retrogeneDB2-retrocopy
NDUFA9	retrogeneDB2-retrocopy
CAP2	retrogeneDB2-retrocopy
LSM14A	retrogeneDB2-retrocopy
LETM1	retrogeneDB2-retrocopy
GSTA5	retrogeneDB2-retrocopy
MRPS11	retrogeneDB2-retrocopy
CIAPIN1	retrogeneDB2-retrocopy
COPS5	retrogeneDB2-retrocopy
ME2	retrogeneDB2-retrocopy
ANAPC10	retrogeneDB2-retrocopy
ABCE1	retrogeneDB2-retrocopy
OTUD4	retrogeneDB2-retrocopy
TMEM184C	retrogeneDB2-retrocopy
G3BP1	retrogeneDB2-retrocopy
USE1	retrogeneDB2-retrocopy
SLC39A14	retrogeneDB2-retrocopy
ELF2	retrogeneDB2-retrocopy
ZFAND6	retrogeneDB2-retrocopy
C8orf46	retrogeneDB2-retrocopy
REXO4	retrogeneDB2-retrocopy
SNRNP27	retrogeneDB2-retrocopy
LRRFIP1	retrogeneDB2-retrocopy
PTS	retrogeneDB2-retrocopy
MRPL9	retrogeneDB2-retrocopy
SLC25A33	retrogeneDB2-retrocopy
CCNH	retrogeneDB2-retrocopy
RBM39	retrogeneDB2-retrocopy
MTRF1L	retrogeneDB2-retrocopy
N6AMT1	retrogeneDB2-retrocopy
TVP23B	retrogeneDB2-retrocopy
RNF11	retrogeneDB2-retrocopy
KARS	retrogeneDB2-retrocopy
BOLA2B	retrogeneDB2-retrocopy
IL6R	retrogeneDB2-retrocopy
GMCL1	retrogeneDB2-retrocopy
IDH1	retrogeneDB2-retrocopy
MRPS18A	retrogeneDB2-retrocopy
TSN	retrogeneDB2-retrocopy
CCDC53	retrogeneDB2-retrocopy
SIRT5	retrogeneDB2-retrocopy
ARL8B	retrogeneDB2-retrocopy
LYRM2	retrogeneDB2-retrocopy
NUCKS1	retrogeneDB2-retrocopy
CDC37	retrogeneDB2-retrocopy
HAUS4	retrogeneDB2-retrocopy
POLR2C	retrogeneDB2-retrocopy
MAP2K4	retrogeneDB2-retrocopy
PATL1	retrogeneDB2-retrocopy
G2E3	retrogeneDB2-retrocopy
ALG3	retrogeneDB2-retrocopy
STK24	retrogeneDB2-retrocopy
ALDH2	retrogeneDB2-retrocopy
ATP5C1	retrogeneDB2-retrocopy
RPL22L1	retrogeneDB2-retrocopy
TXNDC9	retrogeneDB2-retrocopy
PRKAR1A	retrogeneDB2-retrocopy
TFG	retrogeneDB2-retrocopy
RIMKLB	retrogeneDB2-retrocopy
DGKZ	retrogeneDB2-retrocopy
RUVBL2	retrogeneDB2-retrocopy
ENOPH1	retrogeneDB2-retrocopy
UFD1L	retrogeneDB2-retrocopy
POLE4	retrogeneDB2-retrocopy
PIGA	retrogeneDB2-retrocopy
AK2	retrogeneDB2-retrocopy
MRPS15	retrogeneDB2-retrocopy
BUB3	retrogeneDB2-retrocopy
HNRNPD	retrogeneDB2-retrocopy
HINT2	retrogeneDB2-retrocopy
CTDSPL2	retrogeneDB2-retrocopy
FAM149B1	retrogeneDB2-retrocopy
PLEKHA3	retrogeneDB2-retrocopy
UHRF2	retrogeneDB2-retrocopy
UBXN2A	retrogeneDB2-retrocopy
MRPL20	retrogeneDB2-retrocopy
PTMS	retrogeneDB2-retrocopy
EIF3J	retrogeneDB2-retrocopy
CDK8	retrogeneDB2-retrocopy
PRELID2	retrogeneDB2-retrocopy
PAGE3	retrogeneDB2-retrocopy
PDLIM7	retrogeneDB2-retrocopy
NONO	retrogeneDB2-retrocopy
SLC25A38	retrogeneDB2-retrocopy
PNP	retrogeneDB2-retrocopy
RAP1A	retrogeneDB2-retrocopy
TJAP1	retrogeneDB2-retrocopy
SAT1	retrogeneDB2-retrocopy
HDAC1	retrogeneDB2-retrocopy
RRAS2	retrogeneDB2-retrocopy
CCNJ	retrogeneDB2-retrocopy
BUD31	retrogeneDB2-retrocopy
LPCAT2	retrogeneDB2-retrocopy
GNL3L	retrogeneDB2-retrocopy
PABPN1	retrogeneDB2-retrocopy
PDZD11	retrogeneDB2-retrocopy
PRDX1	retrogeneDB2-retrocopy
EIF3L	retrogeneDB2-retrocopy
SLC35E3	retrogeneDB2-retrocopy
MAF1	retrogeneDB2-retrocopy
XPO6	retrogeneDB2-retrocopy
GSTM2	retrogeneDB2-retrocopy
HSD17B12	retrogeneDB2-retrocopy
DCAF6	retrogeneDB2-retrocopy
ZCCHC9	retrogeneDB2-retrocopy
MPHOSPH6	retrogeneDB2-retrocopy
RP11-159G9.5	retrogeneDB2-retrocopy
DIO1	retrogeneDB2-retrocopy
ANAPC15	retrogeneDB2-retrocopy
NUP35	retrogeneDB2-retrocopy
SLC25A15	retrogeneDB2-retrocopy
EBPL	retrogeneDB2-retrocopy
OFD1	retrogeneDB2-retrocopy
SLC25A39	retrogeneDB2-retrocopy
ORAOV1	retrogeneDB2-retrocopy
RAD51AP1	retrogeneDB2-retrocopy
RGS17	retrogeneDB2-retrocopy
ZNF670	retrogeneDB2-retrocopy
MSN	retrogeneDB2-retrocopy
IGLON5	retrogeneDB2-retrocopy
APIP	retrogeneDB2-retrocopy
CLK3	retrogeneDB2-retrocopy
PLAC8	retrogeneDB2-retrocopy
TMEM30A	retrogeneDB2-retrocopy
KAT7	retrogeneDB2-retrocopy
WRB	retrogeneDB2-retrocopy
METTL21A	retrogeneDB2-retrocopy
ZDHHC4	retrogeneDB2-retrocopy
CSNK2A1	retrogeneDB2-retrocopy
PAK2	retrogeneDB2-retrocopy
RAD17	retrogeneDB2-retrocopy
FAM192A	retrogeneDB2-retrocopy
JKAMP	retrogeneDB2-retrocopy
TAF9B	retrogeneDB2-retrocopy
IQCB1	retrogeneDB2-retrocopy
PLEKHB2	retrogeneDB2-retrocopy
PABPC1	retrogeneDB2-retrocopy
FAM3C	retrogeneDB2-retrocopy
UBE2M	retrogeneDB2-retrocopy
MPPE1	retrogeneDB2-retrocopy
POLR2E	retrogeneDB2-retrocopy
DND1	retrogeneDB2-retrocopy
METTL21D	retrogeneDB2-retrocopy
SYF2	retrogeneDB2-retrocopy
FAR1	retrogeneDB2-retrocopy
PGK1	retrogeneDB2-retrocopy
LRRC57	retrogeneDB2-retrocopy
HSPA9	retrogeneDB2-retrocopy
TIMM17A	retrogeneDB2-retrocopy
DNAJB14	retrogeneDB2-retrocopy
BDH2	retrogeneDB2-retrocopy
UBE2E3	retrogeneDB2-retrocopy
HIBCH	retrogeneDB2-retrocopy
UBQLN4	retrogeneDB2-retrocopy
MAGOHB	retrogeneDB2-retrocopy
EIF2A	retrogeneDB2-retrocopy
TUBA1B	retrogeneDB2-retrocopy
NOL8	retrogeneDB2-retrocopy
C15orf40	retrogeneDB2-retrocopy
RFESD	retrogeneDB2-retrocopy
NIT2	retrogeneDB2-retrocopy
RAB11FIP1	retrogeneDB2-retrocopy
THAP5	retrogeneDB2-retrocopy
C18orf25	retrogeneDB2-retrocopy
FBL	retrogeneDB2-retrocopy
TUBA1A	retrogeneDB2-retrocopy
PFDN5	retrogeneDB2-retrocopy
PPP2CB	retrogeneDB2-retrocopy
NIPAL1	retrogeneDB2-retrocopy
PRPF3	retrogeneDB2-retrocopy
NUDT5	retrogeneDB2-retrocopy
MRPL3	retrogeneDB2-retrocopy
MLX	retrogeneDB2-retrocopy
TCF3	retrogeneDB2-retrocopy
PDCD10	retrogeneDB2-retrocopy
NDUFB11	retrogeneDB2-retrocopy
ATXN2L	retrogeneDB2-retrocopy
ITGB1BP1	retrogeneDB2-retrocopy
MDH1	retrogeneDB2-retrocopy
BBIP1	retrogeneDB2-retrocopy
EXOC5	retrogeneDB2-retrocopy
SPPL2A	retrogeneDB2-retrocopy
ARG2	retrogeneDB2-retrocopy
ATAD1	retrogeneDB2-retrocopy
PGRMC1	retrogeneDB2-retrocopy
FAM214B	retrogeneDB2-retrocopy
MTX2	retrogeneDB2-retrocopy
AHCTF1	retrogeneDB2-retrocopy
SAP25	retrogeneDB2-retrocopy
MTIF3	retrogeneDB2-retrocopy
NFE2L3	retrogeneDB2-retrocopy
CTSB	retrogeneDB2-retrocopy
MRPL10	retrogeneDB2-retrocopy
NEIL2	retrogeneDB2-retrocopy
DDX43	retrogeneDB2-retrocopy
WDR77	retrogeneDB2-retrocopy
LIMK2	retrogeneDB2-retrocopy
FUNDC2	retrogeneDB2-retrocopy
CT45A5	retrogeneDB2-retrocopy
C12orf45	retrogeneDB2-retrocopy
ACCSL	retrogeneDB2-retrocopy
TSEN2	retrogeneDB2-retrocopy
TVP23C	retrogeneDB2-retrocopy
SRSF6	retrogeneDB2-retrocopy
RAB13	retrogeneDB2-retrocopy
PFDN1	retrogeneDB2-retrocopy
IMPDH2	retrogeneDB2-retrocopy
EWSR1	retrogeneDB2-retrocopy
RNF7	retrogeneDB2-retrocopy
BAG1	retrogeneDB2-retrocopy
FSCN1	retrogeneDB2-retrocopy
LARP4	retrogeneDB2-retrocopy
KIF2A	retrogeneDB2-retrocopy
CKS2	retrogeneDB2-retrocopy
ST3GAL1	retrogeneDB2-retrocopy
BRIX1	retrogeneDB2-retrocopy
CXorf56	retrogeneDB2-retrocopy
CRIP1	retrogeneDB2-retrocopy
ATG3	retrogeneDB2-retrocopy
UBXN2B	retrogeneDB2-retrocopy
GLDC	retrogeneDB2-retrocopy
PEF1	retrogeneDB2-retrocopy
TARBP2	retrogeneDB2-retrocopy
STAR	retrogeneDB2-retrocopy
RHBDF1	retrogeneDB2-retrocopy
RAB1B	retrogeneDB2-retrocopy
GINS2	retrogeneDB2-retrocopy
FGFR1OP2	retrogeneDB2-retrocopy
RIPPLY3	retrogeneDB2-retrocopy
PES1	retrogeneDB2-retrocopy
ADSS	retrogeneDB2-retrocopy
SLC25A20	retrogeneDB2-retrocopy
INTS6	retrogeneDB2-retrocopy
ZDHHC20	retrogeneDB2-retrocopy
DNAJC7	retrogeneDB2-retrocopy
TM2D3	retrogeneDB2-retrocopy
TKT	retrogeneDB2-retrocopy
NAMPT	retrogeneDB2-retrocopy
GABPA	retrogeneDB2-retrocopy
ISYNA1	retrogeneDB2-retrocopy
PPIF	retrogeneDB2-retrocopy
MATR3	retrogeneDB2-retrocopy
SNF8	retrogeneDB2-retrocopy
C18orf21	retrogeneDB2-retrocopy
MRPS24	retrogeneDB2-retrocopy
MRPL19	retrogeneDB2-retrocopy
POLR3D	retrogeneDB2-retrocopy
TAF1	retrogeneDB2-retrocopy
FAM151A	retrogeneDB2-retrocopy
RHBDD1	retrogeneDB2-retrocopy
SCO1	retrogeneDB2-retrocopy
PRMT1	retrogeneDB2-retrocopy
CNEP1R1	retrogeneDB2-retrocopy
C11orf73	retrogeneDB2-retrocopy
RNF126	retrogeneDB2-retrocopy
VEZF1	retrogeneDB2-retrocopy
TRA2A	retrogeneDB2-retrocopy
ATP5A1	retrogeneDB2-retrocopy
MYEOV2	retrogeneDB2-retrocopy
BRWD1	retrogeneDB2-retrocopy
MYL9	retrogeneDB2-retrocopy
MRPL45	retrogeneDB2-retrocopy
IPO7	retrogeneDB2-retrocopy
BECN1	retrogeneDB2-retrocopy
CKS1B	retrogeneDB2-retrocopy
PRKRIR	retrogeneDB2-retrocopy
FAM20B	retrogeneDB2-retrocopy
NT5C3A	retrogeneDB2-retrocopy
PRKACA	retrogeneDB2-retrocopy
GMFB	retrogeneDB2-retrocopy
DYNC1I2	retrogeneDB2-retrocopy
STX18	retrogeneDB2-retrocopy
DCTN6	retrogeneDB2-retrocopy
DNAJC5	retrogeneDB2-retrocopy
MEF2BNB	retrogeneDB2-retrocopy
PLLP	retrogeneDB2-retrocopy
