gene_name	source
RPS21	retrogeneDB2-retrocopy
GXYLT1	retrogeneDB2-retrocopy
RBPJ	retrogeneDB2-retrocopy
AK4	retrogeneDB2-retrocopy
RPS5	retrogeneDB2-retrocopy
ACTB	retrogeneDB2-retrocopy
H2AFZ	retrogeneDB2-retrocopy
RPS11	retrogeneDB2-retrocopy
FCF1	retrogeneDB2-retrocopy
RBBP4	retrogeneDB2-retrocopy
SSBP3	retrogeneDB2-retrocopy
CXADR	retrogeneDB2-retrocopy
ATP5F1	retrogeneDB2-retrocopy
PPP4R2	retrogeneDB2-retrocopy
FDPS	retrogeneDB2-retrocopy
SNRPC	retrogeneDB2-retrocopy
ATP5G2	retrogeneDB2-retrocopy
SLMO2	retrogeneDB2-retrocopy
CENPV	retrogeneDB2-retrocopy
RPL4	retrogeneDB2-retrocopy
COX7B	retrogeneDB2-retrocopy
TOMM22	retrogeneDB2-retrocopy
SLC25A6	retrogeneDB2-retrocopy
IGBP1	retrogeneDB2-retrocopy
RPLP2	retrogeneDB2-retrocopy
TOMM20	retrogeneDB2-retrocopy
SRSF10	retrogeneDB2-retrocopy
TPMT	retrogeneDB2-retrocopy
NANOG	retrogeneDB2-retrocopy
TOMM40	retrogeneDB2-retrocopy
SMARCE1	retrogeneDB2-retrocopy
H3F3A	retrogeneDB2-retrocopy
C1D	retrogeneDB2-retrocopy
LDHA	retrogeneDB2-retrocopy
TFDP1	retrogeneDB2-retrocopy
RFK	retrogeneDB2-retrocopy
UBE2D4	retrogeneDB2-retrocopy
ABCB10	retrogeneDB2-retrocopy
RPS19	retrogeneDB2-retrocopy
FKBP4	retrogeneDB2-retrocopy
PTPN11	retrogeneDB2-retrocopy
EEF1G	retrogeneDB2-retrocopy
PTGES3	retrogeneDB2-retrocopy
LSM3	retrogeneDB2-retrocopy
DUXA	retrogeneDB2-retrocopy
RPE	retrogeneDB2-retrocopy
ATP5L	retrogeneDB2-retrocopy
COX6B1	retrogeneDB2-retrocopy
MED28	retrogeneDB2-retrocopy
MKI67IP	retrogeneDB2-retrocopy
RPS25	retrogeneDB2-retrocopy
WASF3	retrogeneDB2-retrocopy
SMS	retrogeneDB2-retrocopy
XRCC6	retrogeneDB2-retrocopy
ACP1	retrogeneDB2-retrocopy
ARPC3	retrogeneDB2-retrocopy
AMD1	retrogeneDB2-retrocopy
MTHFD2	retrogeneDB2-retrocopy
PTP4A1	retrogeneDB2-retrocopy
E2F6	retrogeneDB2-retrocopy
UQCRH	retrogeneDB2-retrocopy
UFM1	retrogeneDB2-retrocopy
SUMO1	retrogeneDB2-retrocopy
FAM32A	retrogeneDB2-retrocopy
CBX1	retrogeneDB2-retrocopy
ELK1	retrogeneDB2-retrocopy
GLUL	retrogeneDB2-retrocopy
RPS15	retrogeneDB2-retrocopy
RPS3	retrogeneDB2-retrocopy
COX7B	retrogeneDB2-retrocopy
FAM133B	retrogeneDB2-retrocopy
CDK2AP2	retrogeneDB2-retrocopy
FKBP5	retrogeneDB2-retrocopy
UBE2V1	retrogeneDB2-retrocopy
AIDA	retrogeneDB2-retrocopy
SDHC	retrogeneDB2-retrocopy
MRPL35	retrogeneDB2-retrocopy
HMGA1	retrogeneDB2-retrocopy
GRPEL1	retrogeneDB2-retrocopy
C8orf59	retrogeneDB2-retrocopy
RHEB	retrogeneDB2-retrocopy
YBX1	retrogeneDB2-retrocopy
SPCS2	retrogeneDB2-retrocopy
TCEA1	retrogeneDB2-retrocopy
RPL28	retrogeneDB2-retrocopy
ATP5H	retrogeneDB2-retrocopy
PTP4A2	retrogeneDB2-retrocopy
CMC1	retrogeneDB2-retrocopy
SRSF3	retrogeneDB2-retrocopy
NEK2	retrogeneDB2-retrocopy
FAM58A	retrogeneDB2-retrocopy
SPIC	retrogeneDB2-retrocopy
YWHAE	retrogeneDB2-retrocopy
DENR	retrogeneDB2-retrocopy
SUMO3	retrogeneDB2-retrocopy
NSA2	retrogeneDB2-retrocopy
KCTD9	retrogeneDB2-retrocopy
GK	retrogeneDB2-retrocopy
PSME2	retrogeneDB2-retrocopy
DNAJA1	retrogeneDB2-retrocopy
NDUFAF4	retrogeneDB2-retrocopy
PEBP1	retrogeneDB2-retrocopy
USP12	retrogeneDB2-retrocopy
FAM207A	retrogeneDB2-retrocopy
FAM91A1	retrogeneDB2-retrocopy
UBE2L3	retrogeneDB2-retrocopy
NUS1	retrogeneDB2-retrocopy
TRMT112	retrogeneDB2-retrocopy
PTTG1	retrogeneDB2-retrocopy
GOT2	retrogeneDB2-retrocopy
PPIH	retrogeneDB2-retrocopy
PPP1R14B	retrogeneDB2-retrocopy
TAF9	retrogeneDB2-retrocopy
DBI	retrogeneDB2-retrocopy
EIF4E	retrogeneDB2-retrocopy
CCNYL1	retrogeneDB2-retrocopy
MKRN1	retrogeneDB2-retrocopy
KIAA1191	retrogeneDB2-retrocopy
VENTX	retrogeneDB2-retrocopy
YWHAB	retrogeneDB2-retrocopy
PIGP	retrogeneDB2-retrocopy
SH3GL1	retrogeneDB2-retrocopy
RPS18	retrogeneDB2-retrocopy
CHCHD3	retrogeneDB2-retrocopy
SNRPF	retrogeneDB2-retrocopy
ATP6V0E1	retrogeneDB2-retrocopy
TBCA	retrogeneDB2-retrocopy
C9orf78	retrogeneDB2-retrocopy
UBL5	retrogeneDB2-retrocopy
CYB5A	retrogeneDB2-retrocopy
IDI1	retrogeneDB2-retrocopy
QRSL1	retrogeneDB2-retrocopy
EIF3F	retrogeneDB2-retrocopy
SRP14	retrogeneDB2-retrocopy
BTF3L4	retrogeneDB2-retrocopy
ATP6V1E1	retrogeneDB2-retrocopy
COX5A	retrogeneDB2-retrocopy
CRLF3	retrogeneDB2-retrocopy
SPOPL	retrogeneDB2-retrocopy
DNPH1	retrogeneDB2-retrocopy
FAM64A	retrogeneDB2-retrocopy
ATP5J	retrogeneDB2-retrocopy
CHORDC1	retrogeneDB2-retrocopy
TMEM183A	retrogeneDB2-retrocopy
RPS24	retrogeneDB2-retrocopy
PRDX3	retrogeneDB2-retrocopy
DPPA2	retrogeneDB2-retrocopy
PRDX2	retrogeneDB2-retrocopy
DNAJC8	retrogeneDB2-retrocopy
PFDN4	retrogeneDB2-retrocopy
RPS25	retrogeneDB2-retrocopy
AK3	retrogeneDB2-retrocopy
PHF5A	retrogeneDB2-retrocopy
SAPCD2	retrogeneDB2-retrocopy
HAUS1	retrogeneDB2-retrocopy
